2026/2/14 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4133,8:00～9:00,2/14,23:40,11,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3715,8:00～9:00,2/14,23:40

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3259,3:00～4:00,2/14,23:40,9,92

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2999,3:00～4:00,2/14,23:40

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/2/14,0:00,3192,3189,91,3481
2026/2/14,1:00,3079,3059,92,3341
2026/2/14,2:00,3025,3012,92,3287
2026/2/14,3:00,3006,2999,92,3259
2026/2/14,4:00,3028,3013,92,3277
2026/2/14,5:00,3133,3114,92,3392
2026/2/14,6:00,3356,3375,90,3691
2026/2/14,7:00,3501,3621,87,3988
2026/2/14,8:00,3543,3715,85,4133
2026/2/14,9:00,3506,3587,86,4049
2026/2/14,10:00,3369,3403,82,4087
2026/2/14,11:00,3286,3270,79,4130
2026/2/14,12:00,3191,3124,79,4026
2026/2/14,13:00,3156,3120,81,3850
2026/2/14,14:00,3150,3112,89,3527
2026/2/14,15:00,3090,3112,87,3520
2026/2/14,16:00,3155,3202,86,3637
2026/2/14,17:00,3373,3369,86,3901
2026/2/14,18:00,3463,3455,84,4077
2026/2/14,19:00,3440,3440,82,4156
2026/2/14,20:00,3387,3383,80,4227
2026/2/14,21:00,3259,3270,78,4143
2026/2/14,22:00,3101,3138,78,3963
2026/2/14,23:00,2928,2956,76,3836

最大使用率(%),時間帯
92,4:00～5:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3858,18:00～19:00,2/15,23:40,21,82

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3198,18:00～19:00,2/15,23:40

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3405,8:00～9:00,2/15,23:40,7,93

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3180,8:00～9:00,2/15,23:40

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2026/2/14,0:00,3298,0,0
2026/2/14,0:05,3278,0,0
2026/2/14,0:10,3271,0,0
2026/2/14,0:15,3259,0,0
2026/2/14,0:20,3237,0,0
2026/2/14,0:25,3210,0,0
2026/2/14,0:30,3200,0,0
2026/2/14,0:35,3168,0,0
2026/2/14,0:40,3157,0,0
2026/2/14,0:45,3141,0,0
2026/2/14,0:50,3116,0,0
2026/2/14,0:55,3098,0,0
2026/2/14,1:00,3090,0,0
2026/2/14,1:05,3107,0,0
2026/2/14,1:10,3113,0,0
2026/2/14,1:15,3110,0,0
2026/2/14,1:20,3089,0,0
2026/2/14,1:25,3087,0,0
2026/2/14,1:30,3073,0,0
2026/2/14,1:35,3073,0,0
2026/2/14,1:40,3068,0,0
2026/2/14,1:45,3066,0,0
2026/2/14,1:50,3039,0,0
2026/2/14,1:55,3047,0,0
2026/2/14,2:00,3034,0,0
2026/2/14,2:05,3038,0,0
2026/2/14,2:10,3030,0,0
2026/2/14,2:15,3021,0,0
2026/2/14,2:20,3033,0,0
2026/2/14,2:25,3039,0,0
2026/2/14,2:30,3032,0,0
2026/2/14,2:35,3018,0,0
2026/2/14,2:40,3023,0,0
2026/2/14,2:45,3011,0,0
2026/2/14,2:50,3023,0,0
2026/2/14,2:55,3020,0,0
2026/2/14,3:00,3012,0,0
2026/2/14,3:05,3015,0,0
2026/2/14,3:10,3020,0,0
2026/2/14,3:15,3011,0,0
2026/2/14,3:20,3002,0,0
2026/2/14,3:25,3013,0,0
2026/2/14,3:30,2999,0,0
2026/2/14,3:35,2987,0,0
2026/2/14,3:40,3005,0,0
2026/2/14,3:45,3004,0,0
2026/2/14,3:50,2992,0,0
2026/2/14,3:55,3003,0,0
2026/2/14,4:00,3011,0,0
2026/2/14,4:05,3015,0,0
2026/2/14,4:10,3016,0,0
2026/2/14,4:15,3013,0,0
2026/2/14,4:20,3024,0,0
2026/2/14,4:25,3017,0,0
2026/2/14,4:30,3019,0,0
2026/2/14,4:35,3020,0,0
2026/2/14,4:40,3025,0,0
2026/2/14,4:45,3044,0,0
2026/2/14,4:50,3042,0,0
2026/2/14,4:55,3060,0,0
2026/2/14,5:00,3070,0,0
2026/2/14,5:05,3089,0,0
2026/2/14,5:10,3108,0,0
2026/2/14,5:15,3093,0,0
2026/2/14,5:20,3111,0,0
2026/2/14,5:25,3123,0,0
2026/2/14,5:30,3099,0,0
2026/2/14,5:35,3127,0,0
2026/2/14,5:40,3150,0,0
2026/2/14,5:45,3164,0,0
2026/2/14,5:50,3182,0,0
2026/2/14,5:55,3190,0,0
2026/2/14,6:00,3218,0,0
2026/2/14,6:05,3261,0,0
2026/2/14,6:10,3282,0,0
2026/2/14,6:15,3315,0,0
2026/2/14,6:20,3336,0,0
2026/2/14,6:25,3352,0,0
2026/2/14,6:30,3343,0,0
2026/2/14,6:35,3374,0,0
2026/2/14,6:40,3403,0,0
2026/2/14,6:45,3409,2,0
2026/2/14,6:50,3421,5,0
2026/2/14,6:55,3429,9,0
2026/2/14,7:00,3421,13,0
2026/2/14,7:05,3442,18,0
2026/2/14,7:10,3469,59,1
2026/2/14,7:15,3493,109,3
2026/2/14,7:20,3510,134,3
2026/2/14,7:25,3507,164,4
2026/2/14,7:30,3500,197,5
2026/2/14,7:35,3522,230,6
2026/2/14,7:40,3522,264,7
2026/2/14,7:45,3526,298,8
2026/2/14,7:50,3526,334,9
2026/2/14,7:55,3528,371,10
2026/2/14,8:00,3527,409,11
2026/2/14,8:05,3565,448,12
2026/2/14,8:10,3567,488,13
2026/2/14,8:15,3547,529,14
2026/2/14,8:20,3541,568,16
2026/2/14,8:25,3546,608,17
2026/2/14,8:30,3528,648,18
2026/2/14,8:35,3539,687,19
2026/2/14,8:40,3545,727,20
2026/2/14,8:45,3550,767,21
2026/2/14,8:50,3547,805,22
2026/2/14,8:55,3539,843,23
2026/2/14,9:00,3541,881,24
2026/2/14,9:05,3547,918,25
2026/2/14,9:10,3549,953,26
