東京（東京都)　2026年2月14日（１０分ごとの値）,,,,,,,,,,
時分,気圧(hPa),,"降水量
(mm)","気温
(℃)","相対湿度
(％)",風向・風速(m/s),,,,"日照
時間
(分)"
,現地,海面,,,,平均,風向,最大瞬間,風向,
00:10,1015.9,1018.9,--,6,64,1.2,北北西,2.4,北西,
00:20,1015.9,1018.9,--,5.7,67,1,北北西,2.1,北,
00:30,1016,1019,--,6.2,63,0.8,北西,1.6,北北西,
00:40,1016.1,1019.1,--,5.6,65,1.6,北西,3.3,北西,
00:50,1016.2,1019.2,--,5.9,63,1.7,北西,3,北西,
01:00,1016.2,1019.2,--,5.4,65,1.9,北西,3.2,北西,
01:10,1016.1,1019.1,--,5,64,1.1,北北西,1.7,北西,
01:20,1016.3,1019.3,--,5.4,62,1.4,北西,2.2,北北西,
01:30,1016.2,1019.2,--,5,64,1.8,北西,3.1,北西,
01:40,1016.3,1019.3,--,4.9,64,1.9,北西,2.9,北西,
01:50,1016.4,1019.4,--,4.8,68,2,北西,3.6,北西,
02:00,1016.3,1019.3,--,4.6,69,1.1,西南西,2,北西,
02:10,1016.3,1019.3,--,4.3,68,0.8,南南西,1.2,南南西,
02:20,1016.3,1019.3,--,4.3,69,0.9,西,1.4,西,
02:30,1016.3,1019.3,--,4.4,65,1,西,1.6,西,
02:40,1016.2,1019.2,--,4.5,65,1,西南西,1.6,西南西,
02:50,1016.1,1019.1,--,4.1,65,0.8,西,1.5,西,
03:00,1016,1019,--,3.2,70,0.4,西,0.7,北,
03:10,1015.9,1018.9,--,3.7,67,0.3,南,0.7,南,
03:20,1015.8,1018.8,--,3.6,67,0.4,東,0.7,北東,
03:30,1015.8,1018.8,--,4,65,0.2,静穏,0.9,北北西,
03:40,1015.7,1018.7,--,4.1,65,0.6,北北西,0.9,北西,
03:50,1015.8,1018.8,--,3.7,65,0.5,北西,0.7,北西,
04:00,1015.8,1018.8,--,3.8,65,0.8,西,1,西南西,
04:10,1015.7,1018.7,--,3.6,67,0.9,西南西,1.1,西,
04:20,1015.9,1018.9,--,4.2,67,1,西北西,1.1,北西,
04:30,1016.2,1019.2,--,3.8,69,1.2,北西,1.6,北西,
04:40,1016.3,1019.3,--,3.9,68,1.4,北西,1.8,北西,
04:50,1016.4,1019.4,--,4,68,1.7,北西,2.1,北西,
05:00,1016.5,1019.5,--,3.3,70,1.1,西北西,1.7,北西,
05:10,1016.6,1019.6,--,3.8,70,1.1,西北西,1.3,西北西,
05:20,1016.7,1019.7,--,3.4,72,1.1,北西,1.4,北西,
05:30,1016.8,1019.8,--,3.3,74,0.9,西北西,1.1,西,
05:40,1016.9,1019.9,--,3.5,74,1,西,1.3,西,
05:50,1017,1020,--,4.1,71,1.1,西北西,1.4,北西,
06:00,1017.1,1020.1,--,3.3,74,0.8,北西,1.2,北西,
06:10,1017.2,1020.2,--,3.6,72,1.3,北西,1.8,北西,
06:20,1017.3,1020.3,--,3.9,71,1.5,北西,2,北西,
06:30,1017.3,1020.3,--,4,72,1.4,北西,1.9,北北西,
06:40,1017.4,1020.4,--,4.1,71,1.4,北北西,2,北北西,0
06:50,1017.6,1020.6,--,4.2,71,1.3,北北西,2.1,北北西,0
07:00,1017.6,1020.6,--,4.1,71,1.1,北北東,2.1,北北東,0
07:10,1017.7,1020.7,--,4.4,69,1.1,北,2,北北西,0
07:20,1017.7,1020.7,--,4.6,69,0.9,北北西,1.6,北北西,0
07:30,1017.7,1020.7,--,5.1,68,1,北,2.1,北北東,10
07:40,1018,1021,--,5.2,67,1.1,北北東,2.2,北北東,10
07:50,1018.1,1021.1,--,5.5,63,0.9,北北西,1.7,北西,10
08:00,1018.1,1021.1,--,5.7,63,1,北北西,1.7,北北西,10
08:10,1018.2,1021.2,--,6.2,62,1.2,北西,2.2,北北西,10
08:20,1018.2,1021.2,--,6.6,60,1.5,西北西,2.6,北西,10
08:30,1018.3,1021.3,--,7.3,57,1.3,北西,2.1,北西,10
08:40,1018.2,1021.2,--,7.5,58,1.5,北西,2.5,北西,10
08:50,1018.2,1021.2,--,7.9,57,1.6,北西,2.8,西北西,10
09:00,1018.2,1021.2,--,7.6,53,1.6,北西,2.6,北西,10
09:10,1018.2,1021.2,--,7.8,53,1.6,北西,2.7,西北西,10
09:20,1018.1,1021.1,--,9.4,52,1.2,北北西,2.1,北,10
09:30,1018.1,1021.1,--,9.6,49,1.1,北北東,3,北東,10
09:40,1018.1,1021.1,--,9.7,49,1.2,北北西,2.3,北北西,10
09:50,1018,1021,--,10.1,47,1.1,北,2.4,北北東,10
10:00,1018.1,1021.1,--,10.6,46,0.9,北,2.1,東北東,10
10:10,1018.1,1021.1,--,10.8,46,1.3,西北西,2.5,北北西,10
10:20,1018,1020.9,--,11.6,46,1.1,北北西,2.8,北北西,10
10:30,1017.9,1020.9,--,10,44,1,北北東,2.3,東北東,10
10:40,1017.8,1020.8,--,10.9,43,2.1,北東,3.1,東北東,10
10:50,1017.7,1020.6,--,11.1,44,1.5,北東,2.9,東北東,10
11:00,1017.5,1020.4,--,12.1,42,1.4,北東,2.6,北東,10
11:10,1017.3,1020.2,--,12.2,44,1.6,北北東,3,北東,10
11:20,1017.2,1020.1,--,12.2,42,1.1,北北東,2.4,北北東,10
11:30,1017,1019.9,--,12.4,45,0.9,北北西,2.1,北西,10
11:40,1016.9,1019.8,--,12.7,43,1.2,東北東,2.1,東,10
11:50,1016.8,1019.7,--,13.3,42,1.2,東北東,2.5,東北東,10
12:00,1016.6,1019.5,--,13.5,41,1.1,北北東,2.9,北北東,10
12:10,1016.4,1019.3,--,13.2,40,1.4,北北東,2.5,北北東,10
12:20,1016.3,1019.2,--,12.9,41,1.4,東北東,3.5,東北東,10
12:30,1016,1018.9,--,13.4,42,1.6,東,3.7,東北東,10
12:40,1015.9,1018.8,--,13.7,45,1.7,東北東,3.4,北東,10
12:50,1015.7,1018.6,--,14.2,47,1.7,東北東,3,東,10
13:00,1015.7,1018.6,--,14.2,45,2.5,南東,4.6,南南東,10
13:10,1015.5,1018.4,--,14.1,47,1.7,南南東,3.5,南南東,10
13:20,1015.4,1018.3,--,14.1,49,2.4,南南東,5.7,南東,10
13:30,1015.3,1018.2,--,15,50,2.6,東南東,4.4,南東,9
13:40,1015.2,1018.1,--,14.3,50,2.8,南南東,4.6,南東,7
13:50,1015.1,1018,--,14.5,51,2.5,南南東,4.7,南南東,10
14:00,1015,1017.9,--,14.7,52,2.9,南東,5.1,南東,1
